,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,_RA.icrs,_DE.icrs,id
2G0038325-0104322,3.8325,-1.0432,0.20000000298023224,1.7300000190734863,1.3899999856948853,1.5700000524520874,0.15000000596046448,22,52,0.5899999737739563,,0.2800000011920929,C,,,G003.826-01.048,,,269.6217,-26.1712,33
2G0039421-0038185,3.9422,-0.3819,0.1599999964237213,0.5099999904632568,0.44999998807907104,0.47999998927116394,0.10999999940395355,18,59,0.44999998807907104,,0.12999999523162842,C,,,G003.940-00.383,,,269.0463,-25.7449,34
2G0039787-0079823,3.9787,-0.7982,0.23000000417232513,0.9599999785423279,0.8500000238418579,0.9100000262260437,0.23000000417232513,78,113,0.46000000834465027,0.33000001311302185,0.4000000059604645,R,,1G003978-007973,G003.975-00.797,,CN48,269.4668,-25.9221,35
2G0040123-0029873,4.0123,-0.2987,0.550000011920929,0.7699999809265137,0.5400000214576721,0.6700000166893005,0.38999998569488525,27,97,0.7099999785423279,0.3199999928474426,0.11999999731779099,R,,1G004011-002990,G004.009-00.295,,,269.0057,-25.6424,36
2G0040235-0010447,4.0236,-0.1045,0.09000000357627869,0.30000001192092896,0.20999999344348907,0.25999999046325684,0.03999999910593033,62,24,0.7099999785423279,,0.3199999928474426,C,,,G004.021-00.105,,,268.826,-25.5348,37
2G0040556-0001448,4.0557,-0.0145,0.019999999552965164,0.15000000596046448,0.11999999731779099,0.14000000059604645,0.019999999552965164,38,58,0.6100000143051147,,0.3799999952316284,C,,,G004.056-00.015,,CN50,268.7579,-25.4617,38
2G0041088+0002349,4.1089,0.0235,0.1599999964237213,0.75,0.5099999904632568,0.6399999856948853,0.12999999523162842,1,104,0.7300000190734863,0.36000001430511475,0.2800000011920929,R,,1G004109+000256,G004.108+00.022,,CN52,268.7513,-25.3966,39
2G0041231-0101416,4.1232,-1.0142,4.320000171661377,3.640000104904175,3.0,3.3299999237060547,1.9600000381469727,31,106,0.5699999928474426,0.14000000059604645,0.5299999713897705,R,,,G004.132-01.017,,CN51,269.7551,-25.9048,40
2G0042026-0002616,4.2026,-0.0262,0.1599999964237213,0.30000001192092896,0.25999999046325684,0.2800000011920929,0.15000000596046448,18,87,0.4699999988079071,0.2800000011920929,0.10000000149011612,R,,1G004203-000259,G004.202-00.027,,CN53,268.8511,-25.3408,41
2G0042333+0062787,4.2334,0.6279,0.05999999865889549,0.41999998688697815,0.3700000047683716,0.38999998569488525,0.07999999821186066,180,43,0.4399999976158142,,0.14000000059604645,C,,,G004.232+00.625,,,268.2451,-24.9831,42
2G0042751+0003483,4.2752,0.0348,0.15000000596046448,1.809999942779541,1.7100000381469727,1.7599999904632568,0.05999999865889549,13,91,0.33000001311302185,,0.12999999523162842,C,P,1G004275+000372,G004.270+00.038,,CN54 CN55,268.8334,-25.2473,43
2G0042800+0003274,4.2801,0.0328,0.09000000357627869,0.4399999976158142,0.3499999940395355,0.4000000059604645,0.05999999865889549,15,55,0.6200000047683716,,0.20999999344348907,C,D,,G004.283+00.031,,CN54 CN55,268.838,-25.2441,44
2G0043857+0007361,4.3857,0.0736,0.1899999976158142,0.9599999785423279,0.6800000071525574,0.8299999833106995,0.09000000357627869,147,52,0.7099999785423279,,0.15000000596046448,C,,,,,CN58,268.8579,-25.1323,45
2G0043999+0013282,4.4,0.1328,0.4399999976158142,1.25,0.6800000071525574,1.0099999904632568,0.1899999976158142,163,65,0.8399999737739563,0.07000000029802322,0.09000000357627869,C,,1G004400+001326,,,CN59,268.8094,-25.0901,46
2G0044852-0014522,4.4852,-0.1452,0.07999999821186066,0.3400000035762787,0.27000001072883606,0.3100000023841858,0.03999999910593033,48,78,0.6100000143051147,,0.1899999976158142,C,,,,,,269.1221,-25.1565,47
2G0045021-0095975,4.5021,-0.9598,0.7699999809265137,2.1700000762939453,1.7999999523162842,1.9900000095367432,0.49000000953674316,82,114,0.5600000023841858,0.1599999964237213,0.2199999988079071,R,,1G004500-009536,G004.497-00.959,,CN61,269.9121,-25.5492,48
2G0045282-0013381,4.5282,-0.1338,0.18000000715255737,0.800000011920929,0.5299999713897705,0.6800000071525574,0.12999999523162842,23,82,0.7599999904632568,,0.3400000035762787,C,,1G004526-001335,G004.525-00.136,,CN62,269.1351,-25.1136,49
